epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,77.286,3.19318,4.27293,3.34638,3.2159,0,0.14884,0.14271,0.06298,0.01748,0.15071,0.15414,0.0678,0.02034,2.88544,3.89089,4.21581,3.09263,0,0.000332776,0.000332776,0.0670552
2,152.104,2.53956,3.66428,2.90408,2.75848,0,0.19139,0.19235,0.11716,0.04593,0.19827,0.19648,0.1216,0.04878,2.3506,3.44425,3.57917,2.70767,0,0.000666091,0.000666091,0.0340552
3,226.639,2.29097,3.43238,2.657,2.50177,0,0.34511,0.22854,0.21112,0.08804,0.33324,0.23371,0.203,0.08517,2.08844,3.67414,4.5486,2.43376,0,0.000999334,0.000999334,0.00105508
4,300.618,2.11173,3.2483,2.41132,2.34787,0,0.44465,0.31954,0.32657,0.12924,0.44321,0.31851,0.3244,0.12639,2.01295,3.27551,2.70076,2.33081,0,0.000999756,0.000999756,0.000999756
5,374.735,1.98954,3.11281,2.27224,2.23147,0,0.43595,0.32575,0.33333,0.14651,0.44336,0.30714,0.32319,0.15008,1.95123,3.05265,2.48728,2.22945,0,0.000999566,0.000999566,0.000999566
6,448.382,1.9283,3.00869,2.15674,2.14426,0,0.50727,0.39072,0.40112,0.20221,0.50306,0.38676,0.39798,0.19621,1.81634,3.05181,2.1477,2.13055,0,0.000999322,0.000999322,0.000999322
7,522.079,1.83823,2.93219,2.07442,2.08683,0,0.55258,0.4788,0.50358,0.24901,0.61134,0.4522,0.49942,0.24785,1.75959,2.78316,1.88983,2.06009,0,0.000999023,0.000999023,0.000999023
8,595.313,1.81123,2.85777,2.03284,2.03903,0,0.62354,0.41055,0.47806,0.25508,0.62359,0.41468,0.47564,0.25453,1.67621,2.73574,1.94839,1.99565,0,0.000998671,0.000998671,0.000998671
9,668.204,1.74746,2.77715,1.94609,1.97859,0,0.65779,0.51706,0.58914,0.31975,0.66271,0.5243,0.58557,0.31552,1.60847,2.59389,1.79547,1.93614,0,0.000998264,0.000998264,0.000998264
10,740.927,1.71958,2.73649,1.88871,1.97423,0,0.60594,0.52017,0.56128,0.30246,0.61438,0.5274,0.56308,0.30358,1.62905,2.63412,1.74688,1.95899,0,0.000997803,0.000997803,0.000997803
11,813.689,1.70835,2.7024,1.85746,1.93858,0,0.60702,0.5212,0.56103,0.28864,0.6182,0.50672,0.55469,0.28714,1.66181,2.61634,1.76031,1.96634,0,0.000997288,0.000997288,0.000997288
12,886.349,1.66707,2.70072,1.83812,1.91637,0,0.6918,0.52844,0.60672,0.33577,0.71069,0.52077,0.60474,0.34077,1.54287,2.4938,1.67539,1.87427,0,0.00099672,0.00099672,0.00099672
13,959.244,1.66636,2.68035,1.80904,1.89941,0,0.68916,0.53671,0.60717,0.32924,0.69473,0.53775,0.60559,0.31796,1.58936,2.5802,1.648,1.91939,0,0.000996097,0.000996097,0.000996097
14,1032.19,1.61231,2.61401,1.76903,1.86202,0,0.67111,0.55707,0.61399,0.35319,0.67931,0.55946,0.61886,0.35102,1.50931,2.46123,1.61968,1.83617,0,0.00099542,0.00099542,0.00099542
15,1105.16,1.59504,2.55615,1.68804,1.84614,0,0.66333,0.57255,0.61999,0.3418,0.67834,0.57704,0.62755,0.35066,1.55746,2.49344,1.63425,1.88985,0,0.00099469,0.00099469,0.00099469
