epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,83.5981,1.48048,2.58345,2.00604,1.40483,0,0.00492,0.17946,0.00188,0.00072,0.00383,0.12137,0.00103,0.00038,2.71456,nan,173.28,6.36408,0,0.000663492,0.000663492,0.000663492
2,164.311,1.59842,2.6094,1.63998,1.49186,0,0.44117,0.30498,0.30424,0.14284,0.42536,0.29563,0.27188,0.1216,2.06461,4.17682,2.79247,1.93372,0,0.00131699,0.00131699,0.00131699
3,245.094,1.60178,2.62849,1.61421,1.49462,0,0.63442,0.41183,0.46641,0.23148,0.63118,0.41286,0.46204,0.22602,1.88003,3.11185,2.31453,1.77365,0,0.00195729,0.00195729,0.00195729
4,324.983,1.54228,2.51766,1.5281,1.45427,0,0.56902,0.40456,0.43832,0.22721,0.55583,0.40041,0.4272,0.22631,1.83405,3.08339,2.05513,1.75035,0,0.0019406,0.0019406,0.0019406
5,404.901,1.48918,2.45586,1.45619,1.41592,0,0.60622,0.53527,0.57349,0.30309,0.6109,0.53423,0.56489,0.30626,1.74799,2.83477,1.60643,1.62603,0,0.0019208,0.0019208,0.0019208
6,484.994,1.45602,2.38559,1.3697,1.38902,0,0.66775,0.51912,0.56997,0.29904,0.66186,0.52183,0.5649,0.29413,1.71432,2.92707,1.73265,1.62099,0,0.001901,0.001901,0.001901
7,565.271,1.41473,2.31766,1.31999,1.35709,0,0.69392,0.56639,0.6142,0.35123,0.7006,0.56743,0.61533,0.33417,1.56759,2.5964,1.72828,1.57357,0,0.0018812,0.0018812,0.0018812
8,645.26,1.38806,2.30814,1.28176,1.35513,0,0.70356,0.53424,0.61293,0.35926,0.70992,0.52905,0.60695,0.3417,1.56788,2.82781,1.47604,1.52294,0,0.0018614,0.0018614,0.0018614
9,725.219,1.36719,2.24825,1.23696,1.33431,0,0.68648,0.54968,0.61133,0.35119,0.71698,0.52697,0.61162,0.32765,1.60321,2.85274,1.53033,1.58788,0,0.0018416,0.0018416,0.0018416
10,804.902,1.36225,2.26744,1.23821,1.33045,0,0.72505,0.611,0.67654,0.39985,0.72752,0.61307,0.67388,0.38457,1.50804,2.58359,1.32476,1.48928,0,0.0018218,0.0018218,0.0018218
11,884.89,1.32426,2.18956,1.18432,1.30754,0,0.76331,0.60373,0.68376,0.39993,0.75213,0.60685,0.6731,0.38453,1.52444,2.50337,1.29638,1.45632,0,0.001802,0.001802,0.001802
12,964.673,1.31044,2.17338,1.15737,1.29689,0,0.71705,0.63797,0.69272,0.42116,0.73353,0.63589,0.69416,0.41024,1.45502,2.4058,1.28105,1.46153,0,0.0017822,0.0017822,0.0017822
