epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,107.398,3.12004,4.36773,3.71061,3.3933,0,0.10139,0.12099,0.038,0.01102,0.10974,0.11789,0.03787,0.01083,2.86233,4.05096,10.2701,3.24359,0,0.000332776,0.000332776,0.0670552
2,214.086,2.70982,3.76507,3.18303,3.03591,0,0.26253,0.16856,0.12845,0.05156,0.25858,0.16753,0.12757,0.05496,2.37747,3.57685,3.17016,2.80204,0,0.000666091,0.000666091,0.0340552
3,320.507,2.42666,3.53102,2.95804,2.75142,0,0.23005,0.19028,0.11787,0.04695,0.2363,0.19545,0.1199,0.05269,2.22241,3.42561,3.08921,2.61107,0,0.000999334,0.000999334,0.00105508
4,426.427,2.26224,3.34691,2.7338,2.56998,0,0.41104,0.32472,0.30256,0.13065,0.41264,0.31312,0.29195,0.13158,2.08267,3.27072,2.84261,2.43558,0,0.000999756,0.000999756,0.000999756
5,532.158,2.12778,3.20908,2.54761,2.41151,0,0.49811,0.31437,0.3501,0.14386,0.51122,0.32265,0.35516,0.16807,2.14326,3.12804,2.42741,2.42699,0,0.000999566,0.000999566,0.000999566
6,637.411,2.05766,3.04974,2.39329,2.31698,0,0.53823,0.43537,0.44954,0.21626,0.55869,0.45191,0.46023,0.22907,1.88294,3.01258,2.14253,2.24365,0,0.000999322,0.000999322,0.000999322
7,742.068,1.93224,2.98481,2.28122,2.22873,0,0.52102,0.4302,0.45671,0.23291,0.5399,0.44364,0.4634,0.24799,1.80422,2.75459,1.9918,2.16885,0,0.000999023,0.000999023,0.000999023
8,847.116,1.88945,2.88205,2.22498,2.17511,0,0.58057,0.50099,0.51472,0.26859,0.59335,0.49638,0.52575,0.28183,1.74104,2.62308,1.88416,2.07012,0,0.000998671,0.000998671,0.000998671
9,951.75,1.82343,2.8046,2.08392,2.07902,0,0.63336,0.50465,0.55245,0.28227,0.65165,0.49638,0.55914,0.28521,1.74467,2.71765,1.90103,2.06994,0,0.000998264,0.000998264,0.000998264
10,1056.49,1.76762,2.76978,2.04184,2.04175,0,0.69907,0.50879,0.58713,0.31913,0.717,0.50879,0.58904,0.3239,1.665,2.58001,1.73546,2.00277,0,0.000997803,0.000997803,0.000997803
11,1161.45,1.76008,2.73057,1.99506,2.01879,0,0.58738,0.51603,0.54678,0.28772,0.5924,0.52017,0.54885,0.29885,1.69466,2.55179,1.8281,1.99939,0,0.000997288,0.000997288,0.000997288
12,1265.9,1.72234,2.7172,1.97104,1.99901,0,0.693,0.53691,0.60471,0.32698,0.70769,0.53329,0.60123,0.33664,1.59949,2.48632,1.81669,1.94277,0,0.00099672,0.00099672,0.00099672
13,1371.01,1.69665,2.65984,1.9085,1.9745,0,0.65816,0.57394,0.59433,0.30654,0.66741,0.5636,0.58743,0.29043,1.64589,2.69726,1.72205,1.96458,0,0.000996097,0.000996097,0.000996097
14,1476.89,1.65285,2.64563,1.87679,1.932,0,0.66589,0.56567,0.61107,0.33319,0.67674,0.55636,0.61055,0.34023,1.581,2.43622,1.66137,1.91262,0,0.00099542,0.00099542,0.00099542
15,1582.16,1.65807,2.58626,1.81909,1.94011,0,0.72894,0.53396,0.63228,0.34929,0.73431,0.54875,0.64089,0.36153,1.59971,2.4505,1.62511,1.93437,0,0.00099469,0.00099469,0.00099469
16,1687.14,1.62063,2.56871,1.80634,1.90466,0,0.69752,0.58325,0.65351,0.37255,0.70494,0.58945,0.66488,0.37469,1.52735,2.40219,1.55263,1.87857,0,0.000993906,0.000993906,0.000993906
17,1791.87,1.59792,2.58318,1.76923,1.88578,0,0.74799,0.57394,0.6637,0.36225,0.78723,0.56567,0.66418,0.37315,1.5608,2.46604,1.58275,1.88731,0,0.000993068,0.000993068,0.000993068
